DateTime,Value
2023-04-20T04:00:00,49.400
2023-04-20T05:00:00,49.380
2023-04-20T06:00:00,49.340
2023-04-20T07:00:00,49.320
2023-04-20T08:00:00,49.270
2023-04-20T09:00:00,49.220
2023-04-20T10:00:00,49.160
2023-04-20T11:00:00,49.160
2023-04-20T12:00:00,49.120
2023-04-20T13:00:00,49.090
2023-04-20T14:00:00,49.070
2023-04-20T15:00:00,49.040
2023-04-20T16:00:00,49.020
2023-04-20T17:00:00,48.970
2023-04-20T18:00:00,48.930
2023-04-20T19:00:00,48.910
2023-04-20T20:00:00,48.860
2023-04-20T21:00:00,48.830
2023-04-20T22:00:00,48.780
2023-04-20T23:00:00,48.740
2023-04-21T00:00:00,48.710
2023-04-21T01:00:00,48.650
2023-04-21T02:00:00,48.640
2023-04-21T03:00:00,48.550
2023-04-21T04:00:00,48.550
2023-04-21T05:00:00,48.520
2023-04-21T06:00:00,48.490
2023-04-21T07:00:00,48.430
2023-04-21T08:00:00,48.380
2023-04-21T09:00:00,48.350
2023-04-21T10:00:00,48.290
2023-04-21T11:00:00,48.250
2023-04-21T12:00:00,48.210
2023-04-21T13:00:00,48.170
2023-04-21T14:00:00,48.190
2023-04-21T15:00:00,48.120
2023-04-21T16:00:00,48.090
2023-04-21T17:00:00,48.050
2023-04-21T18:00:00,48.000
2023-04-21T19:00:00,47.960
2023-04-21T20:00:00,47.950
2023-04-21T21:00:00,47.900
2023-04-21T22:00:00,47.840
2023-04-21T23:00:00,47.800
2023-04-22T00:00:00,47.730
2023-04-22T01:00:00,47.700
2023-04-22T02:00:00,47.660
2023-04-22T03:00:00,47.610
2023-04-22T04:00:00,47.570
2023-04-22T05:00:00,47.510
2023-04-22T06:00:00,47.470
2023-04-22T07:00:00,47.410
2023-04-22T08:00:00,47.380
2023-04-22T09:00:00,47.360
2023-04-22T10:00:00,47.300
2023-04-22T11:00:00,47.260
2023-04-22T12:00:00,47.210
2023-04-22T13:00:00,47.150
2023-04-22T14:00:00,47.090
2023-04-22T15:00:00,47.070
2023-04-22T16:00:00,47.010
2023-04-22T17:00:00,46.960
2023-04-22T18:00:00,46.910
2023-04-22T19:00:00,46.850
2023-04-22T20:00:00,46.830
2023-04-22T21:00:00,46.760
2023-04-22T22:00:00,46.700
